avgadultfemalelice,avgmobilelice,avgstationarylice,seatemperature,localityname,specieslist,year_week,week,year
0.0,0.0,0.0,13.8,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-09-14,37,2020
0.0,0.0,0.05,13.0,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-09-21,38,2020
0.0,0.07,0.0,12.4,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-09-28,39,2020
0.0,0.0,0.02,12.1,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-10-05,40,2020
0.0,0.0,0.02,12.0,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-10-12,41,2020
0.0,0.0,0.03,11.3,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-10-19,42,2020
0.0,0.03,0.02,10.0,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-10-26,43,2020
0.0,0.03,0.0,9.6,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-11-02,44,2020
0.02,0.17,0.05,10.4,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-11-09,45,2020
0.02,0.08,0.07,10.6,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-11-16,46,2020
0.05,0.1,0.05,9.8,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-11-23,47,2020
0.03,0.08,0.03,9.5,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-11-30,48,2020
0.0,0.07,0.0,9.4,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-12-07,49,2020
0.0,0.0,0.0,8.5,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-12-14,50,2020
0.02,0.02,0.0,7.5,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-12-21,51,2020
0.05,0.05,0.0,7.6,Andholmen 2,"['Laks', 'Ørret', 'Regnbueørret']",2020-12-28,52,2020
